5931.55	8.46	0.22
5932.44	8.83	0.15
5933.62	8.60	0.05
5933.94	8.50	0.10
5935.62	8.81	0.03
5935.93	8.57	0.11
5936.54	8.75	0.03
5936.93	8.55	0.12
5937.93	8.49	0.11
5938.59	8.34	0.24
5939.69	8.88	0.26
5940.43	8.03	0.05
5940.61	8.06	0.23
5941.60	8.00	0.23
5942.59	7.91	0.23
5942.62	7.92	0.04
5943.58	7.72	0.22
5943.59	8.00	0.04
5945.43	7.95	0.05
5947.45	8.04	0.05
5948.64	8.21	0.24
5948.65	8.26	0.04
5949.94	8.14	0.09
5950.62	8.01	0.23
5950.64	8.11	0.05
5951.54	8.05	0.23
5951.95	8.12	0.09
5952.65	7.85	0.05
5953.54	7.99	0.07
5953.69	7.77	0.22
5955.52	8.23	0.21
5955.64	7.98	0.05
5956.54	8.19	0.07
5957.92	8.35	0.14
5958.96	8.29	0.10
5960.36	8.52	0.06
5960.60	8.38	0.04
5961.61	8.42	0.11
5961.94	8.52	0.19
5962.65	8.32	0.04
5963.44	8.42	0.11
5963.65	8.26	0.24
5964.91	8.27	0.15
5966.58	8.71	0.25
5967.97	7.98	0.07
5968.95	8.02	0.09
5971.00	7.88	0.07
5971.61	7.84	0.04
5973.64	7.86	0.23
5974.54	7.93	0.23
5975.60	7.82	0.22
5975.97	7.67	0.07
5977.97	7.81	0.07
5978.60	7.85	0.23
5978.95	7.85	0.06
5979.59	7.67	0.22
5980.43	7.83	0.04
5980.57	7.78	0.22
5981.94	7.72	0.12
5982.54	7.70	0.07
5982.54	7.63	0.22
5983.58	7.58	0.22
5983.92	7.62	0.09
5984.58	7.76	0.22
5986.47	7.66	0.22
5987.45	7.68	0.05
5987.54	7.59	0.22
5988.94	7.84	0.16
5989.53	7.85	0.07
5991.95	7.88	0.08
5992.57	7.93	0.04
5992.96	7.91	0.08
5993.59	7.89	0.03
5993.98	8.06	0.09
5997.45	7.77	0.06
5998.90	8.08	0.10
5999.57	7.79	0.20
5999.96	8.11	0.07
6000.58	8.03	0.03
6001.55	8.16	0.06
6002.91	8.28	0.09
6003.90	8.27	0.09
6004.50	8.30	0.05
6005.53	8.72	0.22
6007.87	8.47	0.09
6008.87	7.95	0.05
6008.90	8.37	0.09
6009.79	8.35	0.18
6009.91	8.20	0.08
6010.88	8.23	0.07
6011.89	8.27	0.11
6012.83	8.04	0.04
6013.38	7.98	0.04
6013.89	7.93	0.04
6014.89	7.76	0.06
6014.92	7.97	0.04
6015.80	7.89	0.04
6015.89	7.69	0.08
6016.79	7.77	0.03
6016.88	7.72	0.11
6017.44	7.70	0.03
6017.47	7.72	0.03
6017.51	7.77	0.02
6017.79	7.71	0.04
6017.89	7.64	0.08
6018.40	7.77	0.02
6018.45	7.78	0.02
6018.49	7.76	0.03
6018.78	7.68	0.03
6018.92	7.86	0.09
6019.94	7.72	0.04
6020.43	7.84	0.20
6020.75	7.67	0.03
6020.93	7.68	0.06
6021.72	7.59	0.02
6021.91	7.65	0.08
6022.75	7.62	0.01
6022.91	7.66	0.08
6023.90	7.68	0.11
6024.74	7.46	0.05
6025.73	7.57	0.02
6025.89	7.48	0.06
6026.30	7.57	0.01
6026.77	7.55	0.02
6026.93	7.31	0.10
6027.74	7.34	0.06
6027.90	7.37	0.10
6028.27	7.37	0.04
6028.77	7.35	0.04
6029.30	7.27	0.02
6030.45	6.97	0.17
6030.93	7.18	0.08
6033.90	7.13	0.09
6034.81	7.16	0.12
6034.89	7.04	0.07
6035.35	7.04	0.02
6035.70	6.97	0.02
6035.90	7.07	0.07
6036.88	6.97	0.06
6037.89	7.11	0.05
6037.90	7.05	0.08
6038.88	7.09	0.05
6038.88	7.05	0.08
6039.36	7.21	0.02
6039.82	7.34	0.05
6039.88	7.14	0.08
6040.37	7.17	0.02
6040.78	7.18	0.03
6040.86	7.19	0.12
6041.35	7.22	0.02
6041.79	7.25	0.04
6041.85	7.31	0.07
6042.89	7.16	0.15
6043.35	7.05	0.02
6044.47	7.09	0.17
6044.86	7.06	0.07
6045.31	6.99	0.02
6045.89	7.09	0.11
6046.33	7.11	0.02
6046.88	7.00	0.06
6047.76	7.03	0.15
6047.85	7.12	0.04
6052.81	6.95	0.13
6053.79	6.90	0.02
6054.77	7.03	0.02
6055.80	7.37	0.02
6056.82	7.67	0.03
6057.77	7.74	0.05
6059.76	8.52	0.04
6060.76	8.81	0.04
6061.83	8.93	0.05
6064.90	9.07	0.04
6065.91	9.30	0.03
6066.81	9.24	0.05
6067.85	9.48	0.05
6068.78	9.70	0.05
6069.70	9.20	0.28
6071.81	9.35	0.03
