5931.55	7.08	0.15
5932.44	7.19	0.10
5933.94	7.12	0.05
5935.93	6.92	0.10
5936.93	6.89	0.15
5937.93	6.89	0.32
5938.59	6.90	0.16
5939.69	6.36	0.14
5940.43	6.60	0.14
5940.61	6.66	0.15
5941.60	6.52	0.15
5942.59	6.53	0.15
5943.58	6.49	0.15
5945.43	6.17	0.07
5947.45	6.19	0.05
5948.64	5.94	0.13
5949.94	5.86	0.10
5950.62	6.14	0.13
5951.54	5.97	0.13
5951.95	6.21	0.08
5953.45	6.08	0.07
5953.69	6.04	0.13
5955.52	6.28	0.12
5956.54	5.99	0.07
5957.92	6.20	0.14
5958.96	6.18	0.09
5960.36	6.25	0.08
5961.61	6.38	0.13
5961.94	6.29	0.10
5963.44	6.37	0.18
5963.65	6.56	0.15
5964.91	6.38	0.15
5966.58	6.15	0.13
5967.97	5.94	0.05
5968.95	6.08	0.07
5971.00	6.00	0.06
5973.64	5.72	0.12
5974.54	6.24	0.14
5975.60	5.81	0.12
5975.97	5.78	0.07
5977.97	5.75	0.13
5978.60	5.54	0.12
5978.95	5.68	0.06
5979.59	5.68	0.12
5980.43	5.67	0.05
5980.57	5.52	0.12
5981.94	5.39	0.07
5982.54	5.48	0.12
5982.54	5.67	0.12
5983.58	5.42	0.11
5983.92	5.51	0.10
5984.58	5.26	0.11
5984.93	5.48	0.05
5986.47	5.56	0.12
5987.45	5.45	0.06
5987.54	5.60	0.12
5988.94	5.33	0.07
5989.53	5.47	0.11
5990.92	5.67	0.33
5991.95	5.45	0.10
5992.96	5.51	0.12
5993.98	5.56	0.28
5997.45	5.59	0.16
5998.90	5.62	0.10
5999.57	5.87	0.11
5999.96	5.86	0.14
6001.55	5.82	0.17
6002.91	5.89	0.07
6003.90	5.87	0.08
6005.53	5.84	0.11
6007.87	6.07	0.07
6008.90	6.06	0.11
6009.91	6.11	0.12
6010.88	6.11	0.09
6011.89	5.98	0.25
6013.88	5.93	0.06
6014.89	5.98	0.07
6015.89	5.74	0.12
6016.88	5.87	0.06
6017.89	5.75	0.04
6018.92	5.63	0.10
6020.43	5.49	0.10
6020.93	5.57	0.06
6021.91	5.50	0.09
6022.91	5.55	0.29
6023.90	5.50	0.26
6025.89	5.56	0.16
6026.93	5.66	0.12
6027.90	5.33	0.09
6030.45	5.10	0.09
6030.93	5.17	0.04
6033.90	4.92	0.08
6034.89	4.84	0.04
6035.90	4.87	0.04
6036.88	4.82	0.13
6037.90	4.74	0.07
6038.88	4.68	0.17
6039.88	4.78	0.17
6040.86	4.93	0.07
6041.85	4.63	0.12
6042.89	4.92	0.10
6044.47	4.80	0.08
6044.86	4.74	0.09
6045.89	4.63	0.11
6046.88	4.64	0.04
6047.85	4.59	0.13
