51992.54	6.58	0.04
51995.56	6.34	0.03
52004.45	5.84	0.02
52017.53	5.95	0.03
52026.41	5.80	0.05
52037.52	5.85	0.08
52037.57	5.93	0.04
52063.49	6.61	0.04
52064.40	6.59	0.08
52065.46	6.68	0.02
52072.45	7.28	0.05
52075.47	7.17	0.07
52087.42	7.52	0.07
52088.44	7.51	0.08
52089.38	7.47	0.04
52090.40	7.50	0.04
52096.35	7.82	0.13
52100.36	7.68	0.19
52102.35	8.04	0.05
52103.34	7.96	0.03
52106.36	7.86	0.07
52107.32	7.75	0.08
52108.33	7.64	0.08
52109.34	7.76	0.09
52113.30	7.70	0.05
52114.31	7.71	0.03
52115.30	7.77	0.02
52116.29	7.74	0.04
52117.30	7.79	0.03
52121.31	7.23	0.05
52124.28	7.45	0.03
52125.29	7.45	0.05
52127.30	7.74	0.03
52129.29	7.61	0.13
52136.27	7.32	0.05
52163.25	6.91	0.05
52265.64	7.46	0.03
52286.61	7.59	0.07
52308.56	6.68	0.03
52322.66	6.10	0.02
52357.61	6.26	0.02
52389.54	5.53	0.02
52419.42	5.30	0.01
52420.47	5.30	0.02
52424.40	5.21	0.05
52425.49	5.30	0.04
52427.43	5.26	0.01
52429.42	5.30	0.06
52429.49	5.27	0.06
52431.41	5.25	0.05
52431.47	5.15	0.06
52433.48	5.30	0.03
52438.34	5.34	0.06
52441.38	5.26	0.04
52443.45	5.26	0.05
52464.33	5.21	0.04
52473.31	5.29	0.03
52476.31	5.38	0.01
52484.29	5.40	0.04
52491.29	5.42	0.09
52512.26	5.47	0.03
52622.65	5.13	0.04
52625.65	5.15	0.05
52629.64	5.13	0.04
52638.65	5.38	0.03
52640.63	5.45	0.03
52641.65	5.44	0.06
52644.61	5.54	0.08
52647.58	5.75	0.04
52688.49	6.66	0.05
52696.53	6.73	0.03
52699.64	6.71	0.05
52701.61	6.71	0.02
52709.46	6.65	0.02
52712.39	6.50	0.05
52758.32	7.28	0.03
52769.48	7.65	0.04
52787.45	7.72	0.06
52793.47	7.48	0.04
52797.43	7.90	0.04
52801.37	7.59	0.04
52803.46	7.44	0.07
52807.41	7.39	0.04
52809.43	7.27	0.05
52811.41	7.32	0.06
52813.40	7.36	0.03
52816.37	7.03	0.11
52819.36	6.83	0.02
52822.37	6.82	0.06
52823.39	6.82	0.04
52825.35	6.80	0.03
52828.34	6.72	0.09
52831.36	6.58	0.03
52832.36	6.53	0.03
52837.30	6.46	0.04
52842.30	6.36	0.03
52851.30	5.89	0.05
52860.27	5.86	0.06
52864.27	5.92	0.06
52869.26	5.79	0.08
52873.26	6.00	0.11
52880.26	6.34	0.04
52881.26	6.29	0.08
52885.25	6.11	0.05
52989.65	4.90	0.02
52991.64	4.87	0.04
52999.61	4.86	0.03
53010.59	4.89	0.03
53039.49	4.95	0.04
53047.50	4.98	0.03
53050.57	5.03	0.01
53053.56	5.10	0.01
53055.65	5.14	0.05
53062.44	5.10	0.03
53097.45	5.31	0.03
53103.60	5.45	0.02
53116.56	5.34	0.02
53123.45	5.34	0.01
53135.36	5.54	0.02
53148.40	5.48	0.04
53151.49	5.46	0.03
53157.48	5.42	0.03
53159.47	5.43	0.04
53162.42	5.36	0.03
53168.44	5.23	0.03
53176.37	5.34	0.01
53179.43	5.45	0.02
53194.35	5.36	0.04
53197.38	5.44	0.04
53200.37	5.25	0.07
53204.36	5.50	0.04
53206.36	5.59	0.06
53208.32	6.04	0.01
53212.33	6.17	0.11
53218.28	6.26	0.02
53219.31	6.24	0.05
53224.30	6.19	0.09
53226.31	6.34	0.04
53228.28	6.25	0.03
53229.26	6.29	0.05
53231.26	6.45	0.05
53232.30	6.46	0.05
53233.26	6.60	0.04
53350.64	6.17	0.08
53356.61	6.33	0.12
53359.64	6.22	0.23
53364.60	5.99	0.13
53374.59	5.75	0.14
53377.59	5.92	0.18
53385.58	5.39	0.15
53392.52	5.05	0.16
53396.57	5.30	0.15
53409.49	5.47	0.11
53415.48	5.41	0.08
53419.64	5.33	0.04
53422.46	5.37	0.10
53429.61	5.57	0.03
53432.42	5.38	0.16
53435.43	5.75	0.10
53437.47	5.84	0.05
53442.39	5.75	0.09
53446.50	5.68	0.05
53451.42	5.79	0.05
53457.35	5.87	0.24
53465.57	5.92	0.03
53469.51	5.74	0.02
53472.36	5.82	0.06
53479.49	5.69	0.03
53483.48	5.79	0.02
53486.51	5.82	0.01
53507.42	5.62	0.07
53517.40	5.43	0.06
53523.39	5.63	0.09
53527.42	5.60	0.01
53534.42	5.57	0.03
53537.38	5.76	0.02
53539.44	5.79	0.09
53549.36	5.68	0.02
53554.34	5.54	0.03
53558.36	5.54	0.03
53561.39	5.50	0.04
53563.34	5.37	0.04
53565.34	5.46	0.05
53568.32	5.62	0.05
53570.36	5.72	0.04
53573.32	5.79	0.04
53575.31	5.81	0.03
53578.31	5.79	0.03
53581.29	5.77	0.07
53582.33	6.11	0.11
53592.26	5.86	0.04
53595.30	5.91	0.04
53596.29	5.82	0.05
53598.26	5.69	0.09
53600.26	5.69	0.04
53601.27	5.80	0.04
53603.29	5.68	0.03
53605.25	5.52	0.05
53607.25	5.63	0.02
53609.25	5.59	0.04
53610.25	5.61	0.02
53614.25	5.57	0.03
53615.24	5.61	0.04
53617.24	5.59	0.06
53618.24	5.57	0.03
53720.63	6.78	0.04
53732.60	7.86	0.06
53736.64	7.89	0.02
53739.58	7.40	0.04
53776.50	6.43	0.02
53784.45	6.26	0.06
53790.54	6.34	0.02
53799.44	6.41	0.06
53831.32	6.61	0.04
53839.62	6.41	0.03
53843.58	6.30	0.02
53845.59	6.34	0.04
53859.35	6.09	0.02
53864.44	6.11	0.02
53866.53	6.13	0.04
53869.49	6.21	0.03
53873.42	6.11	0.07
53875.47	6.01	0.02
53876.51	5.91	0.10
53879.49	6.00	0.04
53883.51	6.01	0.03
53885.39	5.93	0.07
53904.36	6.01	0.03
53909.36	6.00	0.06
53916.37	5.96	0.10
53919.36	5.88	0.05
53922.34	5.99	0.04
53928.37	5.75	0.05
53930.32	5.80	0.04
53932.36	5.68	0.06
53933.33	5.83	0.03
53934.31	5.69	0.03
53937.33	5.75	0.04
53942.36	5.42	0.08
53956.26	5.63	0.03
53959.26	5.54	0.03
53960.29	5.46	0.03
53961.25	5.53	0.02
53963.25	5.51	0.05
53964.25	5.59	0.10
53965.26	5.44	0.06
53966.25	5.52	0.02
53969.29	5.47	0.04
53970.28	5.52	0.03
53977.26	5.36	0.07
53979.24	5.34	0.08
53980.24	5.29	0.04
53981.24	5.37	0.05
53983.24	5.46	0.05
53984.24	5.43	0.04
53986.24	5.40	0.03
54181.56	6.27	0.02
54189.38	5.84	0.02
54191.36	5.74	0.02
54197.31	5.65	0.03
54198.56	5.66	0.03
54200.55	5.67	0.02
54202.52	5.65	0.02
